created_at,hashtags,media,favorite_count,id,retweet_count,text,user_screen_name,user_name
Sat May 02 23:00:48 +0000 2015,NewRigor,,0,594637692220084224,0,"In the sciences, both new discoveries and the development and creative use of technology are valued. Why not in the humanities? #NewRigor",EduObservatory,Andy Anderson
Sat May 02 19:54:50 +0000 2015,5cdh newrigor,http://twitter.com/EcstaticPesse/status/594590894067691521/photo/1,1,594590894067691521,1,#5cdh #newrigor http://t.co/oeWXjvpzEq,EcstaticPesse,Ecstatic Pessimist
Sat May 02 19:32:35 +0000 2015,NewRigor,,0,594585295271497728,2,"Thanks @5collDH @amplify285 for facilitating a great #NewRigor conversation. Necessary, tough ideas brought up today!",ByzCapp,Byzantine Cappadocia
Sat May 02 19:30:06 +0000 2015,NewRigor 5collDH,,0,594584667715670018,1,"@byzcapp ""that is why God made Borbon"" says @amplify285 #NewRigor #5collDH",Pompeiana79,Eric Poehler
Sat May 02 19:28:52 +0000 2015,NewRigor,,2,594584356699512832,0,#NewRigor My questions are large and existential!,ByzCapp,Byzantine Cappadocia
Sat May 02 19:20:21 +0000 2015,newrigor 5cdh,,0,594582214391783424,0,"""How do we get our non-DH peers to understand what we do?"" - @Pompeiana79 #newrigor #5cdh",sheishistoric,Emily Esten
Sat May 02 19:09:59 +0000 2015,NewRigor 5collDH,http://twitter.com/Pompeiana79/status/594579605664702466/photo/1,1,594579605664702466,0,"@Pompeiana79 or like this:

#NewRigor #5collDH http://t.co/bD9zj4BU0c",Pompeiana79,Eric Poehler
Sat May 02 19:02:03 +0000 2015,NewRigor 5collDH,http://twitter.com/Pompeiana79/status/594577609704480769/photo/1,2,594577609704480769,2,"@pompeiana79 Not like this:

#NewRigor #5collDH http://t.co/aCjflJ7TpV",Pompeiana79,Eric Poehler
Sat May 02 19:01:25 +0000 2015,NewRigor 5collDH,http://twitter.com/Pompeiana79/status/594577451193360385/photo/1,2,594577451193360385,1,"The filter for DH evaluations, at all levels, needs to look like this: 

#NewRigor #5collDH http://t.co/1zJ1yVoqtX",Pompeiana79,Eric Poehler
Sat May 02 18:59:49 +0000 2015,newrigor blue,,0,594577046656942080,1,#newrigor #blue Should there be a firm separation of Assessment + Analytics when evaluating + supporting young scholars? ... data vs doing?,mariinyrop,marii nyröp
Sat May 02 18:48:56 +0000 2015,LAWDI NewRigor,,1,594574306623037440,1,@Pompeiana79 It's a #LAWDI and #NewRigor crossover episode!,ByzCapp,Byzantine Cappadocia
Sat May 02 18:44:30 +0000 2015,NewRigor,,0,594573194402607105,1,Great to see @Pompeiana79 @coppergiloth and @jonberndtolsen at #NewRigor @5collDH,umassdhi,UMass DHI
Sat May 02 18:42:42 +0000 2015,NewRigor,,0,594572739727482881,1,hey @ByzCapp we see you here in the #NewRigor room!! Welcome!,Pompeiana79,Eric Poehler
Sat May 02 18:37:41 +0000 2015,newrigor,,0,594571476101165056,2,Great first round of talks at #newrigor @5colldh,umassdhi,UMass DHI
Sat May 02 18:36:49 +0000 2015,NewRigor,,0,594571258768982020,2,"New models of scholarship: move from scholar to scholarship as shop house, w/multiple lateral collaborators, post-""support staff"" #NewRigor",jdrabinski,John E. Drabinski
Sat May 02 18:20:30 +0000 2015,gnurigor NewRigor,http://twitter.com/jeffreymoro/status/594567151169712129/photo/1,1,594567151169712129,2,#gnurigor #NewRigor http://t.co/USEBIJ8imE,jeffreymoro,Jeffrey Moro
Sat May 02 17:50:16 +0000 2015,NewRigor,http://twitter.com/jdrabinski/status/594559542748434432/photo/1,0,594559542748434432,3,Lunch break at #NewRigor conference with @5collDH folks http://t.co/HPC0ikkkgA,jdrabinski,John E. Drabinski
Sat May 02 17:30:00 +0000 2015,newrigor 5cdh,http://twitter.com/EcstaticPesse/status/594554443733032960/video/1,1,594554443733032960,1,My small hand makes the perfect coffee stirrer #newrigor #5cdh http://t.co/qAfO4uYDg3,EcstaticPesse,Ecstatic Pessimist
Sat May 02 17:23:48 +0000 2015,DH NewRigor green,,2,594552882218835968,2,@Pompeiana79 one answer might be to build parts of your #DH project as viable on their own Each a minimally viable product. #NewRigor #green,Pompeiana79,Eric Poehler
Sat May 02 17:23:33 +0000 2015,AltAcs newrigor,,1,594552823343403008,1,"@Pompeiana79 and #AltAcs the ""suicide squad""? #newrigor",ekansa,Eric Kansa
Sat May 02 17:22:02 +0000 2015,newrigor green,,0,594552437987516416,1,"High-Risk/High-Reward push by funders 4 projects makes pre-tenure faculty into gamblers. So, how to we evaluate ""failure""? #newrigor #green",Pompeiana79,Eric Poehler
Sat May 02 17:21:49 +0000 2015,newrigor,,1,594552385957138432,1,"Wishing I could attend #newrigor in person, but following along from the tweets is good too. Thanks to those livetweeting.",cliotropic,Shane Landrum
Sat May 02 17:21:42 +0000 2015,purple newrigor,,0,594552355036729344,1,"#purple #newrigor talking models for valuing iterations. Lang of again, articulating how different practices can become values, if we push",amplify285,Marisa Parham
Sat May 02 17:21:19 +0000 2015,BitterStaff orange newrigor,,0,594552258278400000,0,"“How is participation in a scholarly project assessed and evaluated?”
Not. New meme: #BitterStaff (except with a union!)
#orange #newrigor",EduObservatory,Andy Anderson
Sat May 02 17:20:07 +0000 2015,orange newrigor,,1,594551955156029440,0,varied landscape in assessment for staff in scholarly work - #orange #newrigor @5collDH,SmithGIS,GIS @ Smith College
Sat May 02 17:19:19 +0000 2015,orange newrigor,,0,594551756627058691,1,"“How is participation in a scholarly project assessed and evaluated?”
Theoretically merit pay ⇑, mostly pats on the back. 
#orange #newrigor",EduObservatory,Andy Anderson
Sat May 02 17:19:18 +0000 2015,red newrigor,,0,594551751505772544,1,#red: the way we talk about a project is very different than the project itself  #newrigor,sheishistoric,Emily Esten
Sat May 02 17:19:10 +0000 2015,blue NewRigor,,0,594551716709793794,1,suggesting metrics (i.e. Google Analytics) for participation tracking. how do diff b/t actual involvement &amp; self promotion? #blue #NewRigor,_superluminal,liz alexander
Sat May 02 17:17:10 +0000 2015,orange newrigor,,1,594551214194499585,1,"“Evaluation &amp; assessment different for principal investigators”
Parallel life — what we’re asked to do and actually do.
#orange #newrigor",EduObservatory,Andy Anderson
Sat May 02 17:17:03 +0000 2015,newrigor green,,1,594551184565862401,2,'data' as a vocabulary not nec. native to humanities training; atomization of elements of research is not always intuitive #newrigor #green,Pompeiana79,Eric Poehler
Sat May 02 17:15:54 +0000 2015,newrigor purple,,1,594550897847439361,1,"#newrigor #purple talking @ the language of our concerns. So many things, realizing we need new words, new categories, attached to values",amplify285,Marisa Parham
Sat May 02 17:14:59 +0000 2015,newrigor red,,0,594550663922585601,1,#newrigor #red Digital humanities is more about using digital research and practice methodologies instead of it being about the medium,EcstaticPesse,Ecstatic Pessimist
Sat May 02 17:14:03 +0000 2015,blue newrigor,,0,594550431952609281,1,uncooperative internet means I'm alternately live tweeting the #blue group discussion from the video stream and the Google Doc! #newrigor,_superluminal,liz alexander
Sat May 02 17:12:55 +0000 2015,orange newrigor,,0,594550144353345538,1,"“What is the difference between collaboration and support?”
Could also include producing or procuring funding.
#orange #newrigor",EduObservatory,Andy Anderson
Sat May 02 17:12:17 +0000 2015,collaboration orange newrigor,,0,594549986169397248,0,Defining TRUE #collaboration @5collDH #orange #newrigor vs. support,SmithGIS,GIS @ Smith College
Sat May 02 17:12:05 +0000 2015,blue newrigor,,0,594549933962825728,1,thinking about peer review as a possible mode for DH work evaluation #blue #newrigor,_superluminal,liz alexander
Sat May 02 17:11:44 +0000 2015,orange newrigor,,1,594549849506357248,2,"“What is the difference between collaboration and support?”
Involved from the beginning: design, implement, review.
#orange #newrigor",EduObservatory,Andy Anderson
Sat May 02 17:09:58 +0000 2015,newrigor purple,,1,594549404054462464,1,"#newrigor #purple working thru the ? of how to articulate the value of failure in a humanities environment: “u don’t get points for trying""",amplify285,Marisa Parham
Sat May 02 17:09:51 +0000 2015,orange newrigor,,0,594549374224572416,1,"“Structures for staff member’s own intellectual work?”
Prof. dev. support better in IT than in libraries — usually. MHC?
#orange #newrigor",EduObservatory,Andy Anderson
Sat May 02 17:09:40 +0000 2015,value orange newrigor,,0,594549327420387328,1,"#value is not in question for participating in scholarship, but what are the rewards? #orange #newrigor @5collDH",SmithGIS,GIS @ Smith College
Sat May 02 17:08:41 +0000 2015,blue newrigor,,0,594549078375149568,1,cornett: how do we fairly evaluate inherently collaborative work? #blue #newrigor,_superluminal,liz alexander
Sat May 02 17:06:50 +0000 2015,blue newrigor,,0,594548613684076544,1,big questions: what are the ethics of assuming shared knowledge/paradigms? #blue #newrigor,_superluminal,liz alexander
Sat May 02 17:06:05 +0000 2015,blue newrigor,,0,594548425703694336,1,how can we evaluate DH w/o a basic understanding of/relationships with tech platforms? #blue #newrigor,_superluminal,liz alexander
Sat May 02 17:05:08 +0000 2015,red newrigor,,0,594548186691334144,1,#red: do these project types even encompass what the student symposium projects do &amp; present? #newrigor,sheishistoric,Emily Esten
Sat May 02 17:04:49 +0000 2015,orange newrigor,,0,594548107410571265,1,"“What kinds of structures would help staff member’s own intellectual work emerge?”
Professional development support varies
#orange #newrigor",EduObservatory,Andy Anderson
Sat May 02 17:04:33 +0000 2015,blue NewRigor,,1,594548041497112578,1,the beautiful thing about DH working groups: finding alternative communication methods when tech goes wrong #blue #NewRigor,_superluminal,liz alexander
Sat May 02 17:04:06 +0000 2015,staff newrigor,,0,594547927575633920,0,can there be a #staff pool to draw on where we attend academic conferences? #newrigor @5collDH,SmithGIS,GIS @ Smith College
Sat May 02 17:03:53 +0000 2015,purple newrigor,,0,594547870763765762,1,.@5CollDH #purple #newrigor taking up the ? of what ‘high risk’ means &amp; wondering how tied old model of demonstrating “unique-ness”,amplify285,Marisa Parham
Sat May 02 17:03:10 +0000 2015,GIS newrigor,,1,594547693097189377,1,Note - taking break from normal #GIS tweets to address questions at #newrigor @5collDH,SmithGIS,GIS @ Smith College
Sat May 02 17:03:04 +0000 2015,red newrigor,,0,594547665901334529,1,"#red group dives into a discussion of the ""high risk/high reward"" model and our experience as undergraduates #newrigor",sheishistoric,Emily Esten
Sat May 02 17:02:47 +0000 2015,newrigor red,,1,594547594396717056,1,#newrigor #red Talking about excessive focus on social entrepreneurship  and money making aspects of digital technology in academia,EcstaticPesse,Ecstatic Pessimist
Sat May 02 17:02:32 +0000 2015,orange newrigor,,0,594547530517630977,0,"“Evaluation &amp; assessment different for principal investigators”
UMass library different, national reputation ⇒ promotion.
#orange #newrigor",EduObservatory,Andy Anderson
Sat May 02 17:01:59 +0000 2015,blue NewRigor,,1,594547395800727553,1,what is twitter and how can academics best utilize it personally and professionally? #blue #NewRigor,_superluminal,liz alexander
Sat May 02 17:01:35 +0000 2015,newrigor purple,,1,594547295133245440,0,"#newrigor #purple tenure group &amp; we’re talking ab collaboration &amp; articulating how projs aren’t possible w/o staff, student, &amp; other collabs",amplify285,Marisa Parham
Sat May 02 17:00:30 +0000 2015,orange newrigor,,0,594547020192419842,2,"“How are questions of evaluation &amp; assessment different for principal investigators”
No major acks for scholarly work!
#orange #newrigor",EduObservatory,Andy Anderson
Sat May 02 16:59:24 +0000 2015,NewRigor blue,,0,594546743129309184,2,"#NewRigor #blue group: me, @mariinyrop @ByzCapp @Yael_Rice, and others! starting out immediately with a discussion of documentation",_superluminal,liz alexander
Sat May 02 16:55:02 +0000 2015,orange newrigor staff,,0,594545642757849088,0,@5collDH #orange #newrigor #staff beginning to answer question of evaluation / assessment as principal investigators,SmithGIS,GIS @ Smith College
Sat May 02 16:53:13 +0000 2015,blue NewRigor,,1,594545189156433920,1,hi #blue group!!!! #NewRigor @5collDH,_superluminal,liz alexander
Sat May 02 16:53:11 +0000 2015,newrigor Orange,,0,594545180684001281,1,Conversations on professional evaluation of digital humanities beginning now at the #newrigor. #Orange group a mix of techs and librarians.,EduObservatory,Andy Anderson
Sat May 02 16:49:39 +0000 2015,orange newrigor,,1,594544287968317440,0,exciting #orange group is forming at #newrigor @5collDH,SmithGIS,GIS @ Smith College
Sat May 02 16:47:20 +0000 2015,newrigor,http://twitter.com/EcstaticPesse/status/594543707640229889/photo/1,0,594543707640229889,2,I'm not sure if my new hand is going to let me tweet for #newrigor I need a smaller keyboard @5collDH http://t.co/QGGTV8oDQT,EcstaticPesse,Ecstatic Pessimist
Sat May 02 16:42:52 +0000 2015,newrigor,,0,594542583545733120,1,"@amplify285 kicks off the @5collDH #newrigor conference. ""What is *actually* helpful?""",kgbain,Kimberly Bain
Sat May 02 16:38:10 +0000 2015,5cdh newrigor,,0,594541401532198912,0,"Great time at the undergrad #5cdh symposium, extremely excited to meet some minds at #newrigor",EcstaticPesse,Ecstatic Pessimist
Sat May 02 16:30:52 +0000 2015,DHfuel NewRigor,,1,594539563667824640,0,Pocky sticks as #DHfuel at #NewRigor. I like it!,ByzCapp,Byzantine Cappadocia
Sat May 02 16:27:22 +0000 2015,newrigor,,0,594538681916071937,0,Getting ready to start at the #newrigor @umassph,jonberndtolsen,Jon Berndt Olsen
Sat May 02 16:05:10 +0000 2015,5cdh newrigor,,0,594533096134995970,0,"@Pompeiana79 this implications of this question are terrifying! But based on the presentation, I'm leaning towards yes. #5cdh #newrigor",sheishistoric,Emily Esten
Sat May 02 16:03:58 +0000 2015,NewRigor,http://twitter.com/_superluminal/status/594532793557884928/photo/1,1,594532793557884928,1,Skyping in to the #NewRigor with @5collDH !! Talking new modes of DH scholarship evaluation http://t.co/y0WH4gN1je,_superluminal,liz alexander
Sat May 02 15:53:28 +0000 2015,5cdh newrigor,,1,594530152404647936,0,"@sheishistoric so, now I must ask, has the internet made 'the absurd', absurd? #5cdh #newrigor",Pompeiana79,Eric Poehler
Sat May 02 15:49:45 +0000 2015,5cdh newrigor,,0,594529213769785344,0,Cade Johnson's mention of Tumblr culture &amp; humor and using that to connect the absurdity and seriousness in her research #5cdh #newrigor,sheishistoric,Emily Esten
